Jurisdiction ID,Jurisdiction Name,County,Measure Name,Measure Year,Election Type,Election Date,Measure Type,Measure Topic,Threshold,Pass/Fail,Yes Votes,No Votes,Yes %,No %,Total Votes,Turnout Rate %
559,City of Avalon,Los Angeles,Measure S,2022,general,2022-06-07,Sales Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Fail,229,444,34.0,66.0,673,87.4
559,City of Avalon,Los Angeles,Measure TT,2022,general,2022-06-07,Transient Occupancy Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Fail,312,359,46.5,53.5,671,87.1
559,City of Avalon,Los Angeles,Measure H,2020,general,2020-11-03,Miscellaneous Tax,Facilities: Health Facilities,Majority,Pass,1000,416,70.6,29.4,1416,97.3
559,City of Avalon,Los Angeles,Measure SS,2020,general,2020-03-03,Sales Tax,General Services,Majority,Fail,363,665,35.3,64.7,1028,70.6
559,City of Avalon,Los Angeles,Measure T,2018,general,2018-04-10,Miscellaneous Tax,Facilities: Health Facilities,Two-thirds,Fail,392,497,44.1,55.9,889,84.4
559,City of Avalon,Los Angeles,Measure X,2016,general,2016-11-08,Business Tax,Land Use: Zoning,Two-thirds,Fail,421,727,36.7,63.3,1148,94.1
561,City of Azusa,Los Angeles,Measure ZZ,2024,general,2024-11-05,Sales Tax,General Services,Majority,Pass,9706,4674,67.5,32.5,14380,92.5
561,City of Azusa,Los Angeles,Measure Z,2020,general,2020-03-03,Sales Tax,General Services,Majority,Pass,4651,2812,62.3,37.7,7463,36.5
561,City of Azusa,Los Angeles,Measure A,2015,general,2015-03-03,Transient Occupancy Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,944,728,56.5,43.5,1672,
563,City of Baldwin Park,Los Angeles,Measure BP,2022,general,2022-11-08,Sales Tax,General Services,Majority,Pass,6036,4299,58.4,41.6,10335,96.3
563,City of Baldwin Park,Los Angeles,Measure CB,2022,general,2022-11-08,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,5268,4996,51.3,48.7,10264,95.6
567,City of Bell,Los Angeles,Measure I,2024,general,2024-03-05,Sales Tax,General Services,Majority,Fail,1289,1458,46.9,53.1,2747,35.9
567,City of Bell,Los Angeles,Measure TT,2020,general,2020-03-03,Sales Tax,General Services,Majority,Fail,1610,2435,39.8,60.2,4045,39.3
567,City of Bell,Los Angeles,Measure T,2017,general,2017-03-07,Transient Occupancy Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,1136,563,66.9,33.1,1699,
568,City of Bell Gardens,Los Angeles,Measure A,2020,general,2020-11-03,Sales Tax,General Services,Majority,Pass,5972,3579,62.5,37.5,9551,91.8
569,City of Bellflower,Los Angeles,Measure M,2020,general,2020-11-03,Sales Tax,General Services,Majority,Pass,18251,9115,66.7,33.3,27366,86.1
569,City of Bellflower,Los Angeles,Measure B,2017,general,2017-03-07,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,3159,1119,73.8,26.2,4278,
569,City of Bellflower,Los Angeles,Measure P,2012,general,2012-11-06,Utility Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,11653,7099,62.1,37.9,18752,
574,City of Beverly Hills,Los Angeles,Measure RP,2020,general,2020-11-03,Sales Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,11143,4200,72.6,27.4,15343,76.1
580,City of Bradbury,Los Angeles,Measure BB,2013,general,2013-05-05,Utility Tax,,Majority,Pass,163,110,59.7,40.3,273,
580,City of Bradbury,Los Angeles,Measure M,2012,general,2012-04-10,Utility Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Fail,76,107,41.5,58.5,183,
587,City of Burbank,Los Angeles,Measure P,2018,general,2018-11-06,Business Tax,General Services,Majority,Pass,24567,15190,61.8,38.2,39757,93.9
587,City of Burbank,Los Angeles,Measure S,2013,general,2013-04-09,Utility Tax,,Two-thirds,Fail,3806,4930,43.6,56.4,8736,
589,City of Calabasas,Los Angeles,Measure C,2020,general,2020-11-03,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,7732,4919,61.1,38.9,12651,86.7
602,City of Carson,Los Angeles,Measure R,2022,general,2022-11-08,Utility Tax,General Services,Majority,Pass,16977,4665,78.4,21.6,21642,94.7
602,City of Carson,Los Angeles,Measure K,2020,general,2020-11-03,Sales Tax,General Services,Majority,Pass,22018,18819,53.9,46.1,40837,89.1
602,City of Carson,Los Angeles,Measure C,2017,general,2017-11-07,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,5894,2223,72.6,27.4,8117,
602,City of Carson,Los Angeles,Measure KK,2016,general,2016-11-08,Sales Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,19835,10972,64.4,35.6,30807,83.2
602,City of Carson,Los Angeles,Measure C,2016,general,2016-06-07,Utility Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,13076,5748,69.5,30.5,18824,50.8
602,City of Carson,Los Angeles,Measure A,2015,general,2015-03-03,Utility Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Fail,4257,4683,47.6,52.4,8940,
605,City of Cerritos,Los Angeles,Measure C,2020,general,2020-03-03,Sales Tax,General Services,Majority,Fail,4637,9616,32.5,67.5,14253,49.5
605,City of Cerritos,Los Angeles,Measure A,2015,general,2015-03-03,Transient Occupancy Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,5255,2209,70.4,29.6,7464,
612,City of Claremont,Los Angeles,Measure CT,2022,general,2022-11-08,Business Tax,General Services,Majority,Pass,8281,5303,61.0,39.0,13584,94.1
612,City of Claremont,Los Angeles,Measure CR,2019,general,2019-11-05,Sales Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Fail,3870,4011,49.1,50.9,7881,
612,City of Claremont,Los Angeles,Measure PS,2015,general,2015-11-03,Property Tax,Safety,Two-thirds,Pass,4134,1372,75.1,24.9,5506,
623,City of Commerce,Los Angeles,Measure PS,2021,general,2021-11-02,Property Tax,Safety: Multiple Emergency Services,Two-thirds,Fail,578,406,58.7,41.3,984,
623,City of Commerce,Los Angeles,Measure VS,2020,general,2020-11-03,Sales Tax,General Services,Majority,Pass,3260,1365,70.5,29.5,4625,70.3
623,City of Commerce,Los Angeles,Measure AA,2012,general,2012-11-06,Sales Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,2475,1184,67.6,32.4,3659,
624,City of Compton,Los Angeles,Measure I,2018,general,2018-01-23,Business Tax,Land Use: Zoning,Majority,Fail,698,2198,24.1,75.9,2896,13.8
624,City of Compton,Los Angeles,Measure P,2016,general,2016-06-07,Sales Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,6833,6608,50.8,49.2,13441,48.6
633,City of Covina,Los Angeles,Measure CC,2018,general,2018-11-06,Sales Tax,General Services,Majority,Pass,8247,5745,58.9,41.1,13992,78.4
633,City of Covina,Los Angeles,Measure CC,2017,general,2017-03-07,Utility Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,2740,1098,71.4,28.6,3838,
635,City of Cudahy,Los Angeles,Measure BA,2022,general,2022-11-08,Business Tax,General Services,Majority,Pass,969,824,54.0,46.0,1793,91.2
635,City of Cudahy,Los Angeles,Measure CS,2018,general,2018-11-06,Property Tax,Safety,Two-thirds,Fail,1295,1914,40.4,59.6,3209,88.3
635,City of Cudahy,Los Angeles,Measure R,2018,general,2018-11-06,Sales Tax,General Services,Majority,Pass,1947,1281,60.3,39.7,3228,88.8
635,City of Cudahy,Los Angeles,Measure U,2018,general,2018-11-06,Business Tax,General Services,Majority,Pass,2527,671,79.0,21.0,3198,88.0
635,City of Cudahy,Los Angeles,Measure PS,2017,general,2017-03-07,Property Tax,Safety: Police,Two-thirds,Fail,333,925,26.5,73.5,1258,
636,City of Culver City,Los Angeles,Measure BL,2022,general,2022-11-08,Business Tax,General Services,Majority,Pass,9770,6273,60.9,39.1,16043,84.0
636,City of Culver City,Los Angeles,Measure RE,2020,general,2020-11-03,Property Tax,General Services,Majority,Pass,11510,10671,51.9,48.1,22181,79.7
636,City of Culver City,Los Angeles,Measure CC,2020,general,2020-03-03,Sales Tax,General Services,Majority,Pass,10863,3257,76.9,23.1,14120,50.7
636,City of Culver City,Los Angeles,Measure C,2018,general,2018-11-06,Sales Tax,General Services,Majority,Pass,12846,5315,70.7,29.3,18161,82.4
636,City of Culver City,Los Angeles,Measure A,2018,general,2018-04-10,Business Tax,General Services,Majority,Pass,5724,1015,84.9,15.1,6739,30.6
636,City of Culver City,Los Angeles,Measure CW,2016,general,2016-11-08,Property Tax,General Services: Water,Two-thirds,Pass,14026,4893,74.1,25.9,18919,79.4
636,City of Culver City,Los Angeles,Measure Y,2012,general,2012-11-06,Sales Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,14815,4287,77.6,22.4,19102,
636,City of Culver City,Los Angeles,Measure X,2012,general,2012-04-10,Transient Occupancy Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,3636,721,83.5,16.5,4357,
647,City of Diamond Bar,Los Angeles,Measure DB,2020,general,2020-11-03,Sales Tax,General Services,Majority,Fail,8272,16606,33.3,66.7,24878,91.9
647,City of Diamond Bar,Los Angeles,Measure Q,2018,general,2018-11-06,Transient Occupancy Tax,General Services,Majority,Pass,10817,5780,65.2,34.8,16597,91.9
652,City of Downey,Los Angeles,Measure D,2024,general,2024-11-05,Sales Tax,General Services,Majority,Pass,26324,12803,67.3,32.7,39127,93.1
652,City of Downey,Los Angeles,Measure D,2022,general,2022-11-08,Transient Occupancy Tax,General Services,Majority,Fail,8207,14743,35.8,64.2,22950,94.8
652,City of Downey,Los Angeles,Measure S,2016,general,2016-11-08,Sales Tax,Safety,Majority,Pass,21493,12592,63.1,36.9,34085,85.3
652,City of Downey,Los Angeles,Measure D,2012,general,2012-11-06,Miscellaneous Tax,Revenues: Tax Repeal/Reduction/Limit,Majority,Pass,23807,6027,79.8,20.2,29834,
653,City of Duarte,Los Angeles,Measure QQ,2024,general,2024-11-05,Business Tax,Land Use,Majority,Pass,4523,4163,52.1,47.9,8686,90.7
653,City of Duarte,Los Angeles,Measure D,2020,general,2020-03-03,Sales Tax,General Services,Majority,Pass,2800,2305,54.8,45.2,5105,48.3
661,City of El Monte,Los Angeles,Measure EM,2024,general,2024-11-05,Sales Tax,General Services,Majority,Pass,11885,9633,55.2,44.8,21518,90.4
661,City of El Monte,Los Angeles,Measure OT,2022,general,2022-11-08,Transient Occupancy Tax,General Services,Majority,Fail,5625,5692,49.7,50.3,11317,90.6
661,City of El Monte,Los Angeles,Measure PC,2020,general,2020-03-03,Business Tax,General Services,Two-thirds,Pass,7680,3064,71.5,28.5,10744,34.8
661,City of El Monte,Los Angeles,Measure EM,2017,general,2017-11-07,Sales Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,2187,960,69.5,30.5,3147,
661,City of El Monte,Los Angeles,Measure GG,2013,general,2013-11-05,Sales Tax,,Majority,Pass,3331,1366,70.9,29.1,4697,
661,City of El Monte,Los Angeles,Measure H,2012,general,2012-11-06,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Fail,4428,14137,23.9,76.1,18565,
662,City of El Segundo,Los Angeles,Measure BT,2022,general,2022-11-08,Business Tax,General Services,Majority,Pass,3495,3327,51.2,48.8,6822,91.8
662,City of El Segundo,Los Angeles,Measure Y,2022,general,2022-11-08,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,5163,1929,72.8,27.2,7092,95.4
662,City of El Segundo,Los Angeles,Measure C,2018,general,2018-04-10,Sales Tax,General Services,Two-thirds,Pass,2872,508,85.0,15.0,3380,40.6
662,City of El Segundo,Los Angeles,Measure B,2016,general,2016-04-12,Transient Occupancy Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,2534,996,71.8,28.2,3530,39.7
662,City of El Segundo,Los Angeles,Measure A,2014,general,2014-04-08,Miscellaneous Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Fail,1402,1841,43.2,56.8,3243,70.8
690,City of Gardena,Los Angeles,Measure G,2020,general,2020-03-03,Sales Tax,General Services,Majority,Pass,7248,4025,64.3,35.7,11273,41.7
692,City of Glendale,Los Angeles,Measure S,2018,general,2018-11-06,Sales Tax,General Services,Majority,Pass,28363,23526,54.7,45.3,51889,94.2
692,City of Glendale,Los Angeles,Measure N,2016,general,2016-06-07,Utility Tax,Revenues: Tax Repeal/Reduction/Limit,Majority,Fail,10976,27513,28.5,71.5,38489,58.4
692,City of Glendale,Los Angeles,Measure O,2015,general,2015-04-07,Transient Occupancy Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,9934,6717,59.7,40.3,16651,
693,City of Glendora,Los Angeles,Measure Z,2024,general,2024-11-05,Sales Tax,General Services,Majority,Pass,14296,10496,57.7,42.3,24792,93.3
693,City of Glendora,Los Angeles,Measure E,2019,general,2019-03-05,Sales Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,3524,3042,53.7,46.3,6566,
705,City of Hawaiian Gardens,Los Angeles,Measure HG,2020,general,2020-03-03,Sales Tax,General Services,Majority,Pass,1008,652,60.7,39.3,1660,33.8
706,City of Hawthorne,Los Angeles,Measure UU,2020,general,2020-11-03,Utility Tax,General Services,Majority,Fail,14240,15365,48.1,51.9,29605,87.3
706,City of Hawthorne,Los Angeles,Measure CC,2020,general,2020-11-03,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,18304,11464,61.5,38.5,29768,87.8
706,City of Hawthorne,Los Angeles,Measure HH,2017,general,2017-11-07,Sales Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,2745,1239,68.9,31.1,3984,
711,City of Hermosa Beach,Los Angeles,Measure HB,2024,general,2024-11-05,Sales Tax,General Services,Majority,Fail,4488,6041,42.6,57.4,10529,91.5
711,City of Hermosa Beach,Los Angeles,Measure B,2022,general,2022-11-08,Sales Tax,General Services,Majority,Fail,3712,4573,44.8,55.2,8285,95.0
711,City of Hermosa Beach,Los Angeles,Measure T,2022,general,2022-11-08,Business Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,5645,2708,67.6,32.4,8353,95.8
711,City of Hermosa Beach,Los Angeles,Measure H,2019,general,2019-11-05,Transient Occupancy Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,3067,868,77.9,22.1,3935,
711,City of Hermosa Beach,Los Angeles,Measure H,2015,general,2015-11-03,Transient Occupancy Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,3027,537,84.9,15.1,3564,
720,City of Huntington Park,Los Angeles,Measure S,2018,general,2018-06-05,Sales Tax,General Services,Majority,Pass,2683,901,74.9,25.1,3584,39.0
727,City of Inglewood,Los Angeles,Measure H,2021,general,2021-11-02,Transient Occupancy Tax,General Services,Two-thirds,Fail,6192,3759,62.2,37.8,9951,
727,City of Inglewood,Los Angeles,Measure I,2021,general,2021-11-02,Business Tax,General Services,Majority,Fail,4736,5232,47.5,52.5,9968,
730,City of Irwindale,Los Angeles,Measure IR,2024,general,2024-11-05,Sales Tax,General Services,Majority,Pass,459,217,67.9,32.1,676,92.0
730,City of Irwindale,Los Angeles,Measure I,2019,general,2019-11-05,Sales Tax,Revenues: Tax Creation/Incr./Contin.,Majority,Pass,117,76,60.6,39.4,193,
